Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,PK,CrdY,CrdR,xG,xAG,Team
Ayyoub Bouaddi,fr FRA,MF,17,9,3,309.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,Lille
Rémy Cabella,fr FRA,"MF,FW",34,9,3,300.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,0.9,Lille
Mohamed Lamine Bayo,gn GUI,"FW,MF",26,8,3,210.0,2.0,0.0,2.0,0.0,1.0,0.0,2.2,0.2,Lille
Mitchel Bakker,nl NED,"DF,FW",24,7,2,203.0,2.0,0.0,2.0,0.0,0.0,0.0,1.6,0.4,Lille
Hákon Arnar Haraldsson,is ISL,MF,21,3,2,168.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.2,Lille
Matias Fernandez-Pardo,be BEL,FW,19,6,1,191.0,1.0,1.0,2.0,0.0,0.0,0.0,0.1,0.9,Lille
Ismaily,br BRA,DF,34,1,1,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,Lille
Ethan Mbappé,fr FRA,"MF,FW",17,3,1,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,Lille
Ousmane Toure,fr FRA,DF,19,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
Vincent Burlet,be BEL,DF,19,0,0,,,,,,,,,,Lille
Marc-Aurèle Caillard,fr FRA,GK,30,0,0,,,,,,,,,,Lille
Andrej Ilic,rs SRB,FW,24,0,0,,,,,,,,,,Lille
Younes Lachaab,fr FRA,MF,19,0,0,,,,,,,,,,Lille
Aaron Malouda,fr FRA,FW,18,0,0,,,,,,,,,,Lille
Vito Mannone,it ITA,GK,36,0,0,,,,,,,,,,Lille
Akim Zedadka,dz ALG,DF,29,0,0,,,,,,,,,,Lille
Squad Total,,,,11,121,990.0,18.0,12.0,30.0,2.0,28.0,0.0,18.3,12.7,Lille
Lucas Perri,br BRA,GK,26,11,11,990.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lyon
Duje Ćaleta-Car,hr CRO,DF,28,10,10,899.0,1.0,0.0,1.0,0.0,5.0,0.0,1.6,0.1,Lyon
Moussa Niakhate,sn SEN,DF,28,9,9,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Lyon
Ainsley Maitland-Niles,eng ENG,"DF,MF",27,11,8,734.0,1.0,1.0,2.0,0.0,0.0,0.0,0.8,1.6,Lyon
Alexandre Lacazette,fr FRA,FW,33,10,8,697.0,2.0,1.0,3.0,0.0,1.0,0.0,3.8,1.3,Lyon
Clinton Mata,ao ANG,DF,32,8,7,637.0,0.0,2.0,2.0,0.0,2.0,0.0,0.1,0.4,Lyon
Corentin Tolisso,fr FRA,MF,30,10,7,602.0,1.0,1.0,2.0,0.0,2.0,0.0,1.3,2.7,Lyon
Nemanja Matić,rs SRB,MF,36,8,7,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,Lyon
Abner,br BRA,DF,24,8,7,555.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.4,Lyon
Jordan Veretout,fr FRA,MF,31,8,7,554.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,Lyon
Malick Fofana,be BEL,FW,19,11,6,602.0,3.0,1.0,4.0,0.0,1.0,0.0,1.9,1.1,Lyon
Maxence Caqueret,fr FRA,MF,24,8,6,565.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.4,Lyon
Nicolás Tagliafico,ar ARG,DF,32,5,5,450.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.2,Lyon
Saïd Benrahma,dz ALG,"FW,MF",29,7,5,443.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.3,Lyon
Georges Mikautadze,ge GEO,FW,24,11,4,460.0,2.0,1.0,3.0,1.0,0.0,0.0,3.9,0.9,Lyon
Rayan Cherki,fr FRA,"FW,MF",21,7,4,362.0,1.0,1.0,2.0,0.0,2.0,0.0,0.8,1.6,Lyon
Tanner Tessmann,us USA,MF,23,6,2,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Lyon
Gift Orban,ng NGA,"FW,DF",22,3,2,186.0,2.0,0.0,2.0,0.0,1.0,0.0,1.2,0.0,Lyon
Sael Kumbedi,fr FRA,DF,19,3,2,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Lyon
Ernest Nuamah,gh GHA,"FW,MF",21,6,2,177.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,Lyon
Wilfried Zaha,ci CIV,FW,32,3,1,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Lyon
Orel Mangala,be BEL,MF,26,1,1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Lyon
Mama Samba Baldé,gw GNB,FW,29,2,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Lyon
Mahamadou Diawara,fr FRA,MF,19,2,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyon
Warmed Omari,km COM,DF,24,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyon
Adryelson,br BRA,DF,26,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Lyon
Rémy Descamps,fr FRA,GK,28,0,0,,,,,,,,,,Lyon
Anthony Lopes,pt POR,GK,34,0,0,,,,,,,,,,Lyon
Enzo Molebe,fr FRA,FW,17,0,0,,,,,,,,,,Lyon
Squad Total,,,,11,121,990.0,16.0,10.0,26.0,1.0,21.0,0.0,19.3,13.1,Lyon
Gerónimo Rulli,ar ARG,GK,32,11,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marseille
Pierre Højbjerg,dk DEN,"MF,DF",29,11,11,985.0,1.0,0.0,1.0,0.0,2.0,0.0,0.8,0.4,Marseille
Mason Greenwood,eng ENG,FW,23,11,11,932.0,8.0,1.0,9.0,2.0,1.0,0.0,3.4,1.8,Marseille
Luis Henrique,br BRA,"FW,MF",22,11,9,772.0,4.0,4.0,8.0,0.0,0.0,0.0,1.0,0.9,Marseille
Michael Amir Murillo,pa PAN,DF,28,11,8,794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,Marseille
Geoffrey Kondogbia,cf CTA,"MF,DF",31,9,8,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Marseille
Leonardo Balerdi,ar ARG,DF,25,8,8,634.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.6,Marseille
