Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,PK,CrdY,CrdR,xG,xAG,Team
Niklas Schmidt,de GER,MF,26,5,2,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Toulouse
Ümit Akdag,ro ROU,DF,21,2,2,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Miha Zajc,si SVN,MF,30,7,1,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,Toulouse
Logan Costa,cv CPV,DF,23,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Toulouse
Denis Genreau,au AUS,"MF,FW",25,3,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,Toulouse
Jaydee Canvot,fr FRA,DF,18,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Naatan Skyttä,fi FIN,FW,22,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Rafik Messali,fr FRA,MF,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse
Mamady Bangré,bf BFA,MF,23,0,0,,,,,,,,,,Toulouse
Alex Dominguez,es ESP,GK,26,0,0,,,,,,,,,,Toulouse
Noah Edjouma,fr FRA,FW,19,0,0,,,,,,,,,,Toulouse
Dayann Methalie,fr FRA,DF,18,0,0,,,,,,,,,,Toulouse
Mathis Saka,fr FRA,FW,18,0,0,,,,,,,,,,Toulouse
Squad Total,,,,11,121,990.0,12.0,11.0,23.0,0.0,17.0,1.0,15.8,11.7,Toulouse
